"Date","Open","High","Low","Close","Volume","Adjusted"
2025-12-01,312.950012207031,314.040008544922,308.540008544922,308.920013427734,7727300,305.966979980469
2025-12-02,308.739990234375,310.480010986328,307.089996337891,307.880004882812,7249000,304.936889648438
2025-12-03,307.200012207031,312.359985351562,306.799987792969,312.130004882812,8535300,309.146270751953
2025-12-04,313.260009765625,318.489990234375,313,316.100006103516,9627800,313.078308105469
2025-12-05,315.640014648438,318.480010986328,314.679992675781,315.040008544922,6518900,312.028472900391
2025-12-08,315.059997558594,316.470001220703,313.350006103516,315.209991455078,7417200,312.196807861328
2025-12-09,314.950012207031,318.799987792969,300.019989013672,300.510009765625,18049200,297.637359619141
2025-12-10,300.5,311.190002441406,298.459991455078,310.109985351562,18874100,307.145538330078
2025-12-11,309.239990234375,318,309.239990234375,317.380004882812,9721900,314.346069335938
2025-12-12,319.679992675781,320.269989013672,316.600006103516,318.519989013672,8982900,315.475158691406
2025-12-15,319.589996337891,322.880004882812,318.390014648438,320.019989013672,10864100,316.960845947266
2025-12-16,319.089996337891,319.519989013672,314.399993896484,315.549987792969,8331300,312.533538818359
2025-12-17,318.429992675781,319.369995117188,314.660003662109,314.980010986328,8718700,311.969024658203
2025-12-18,316,317.700012207031,312.220001220703,313,11444900,310.007934570312
2025-12-19,313.790008544922,318.559997558594,313.190002441406,317.209991455078,24494400,314.177673339844
2025-12-22,317.510009765625,323.230010986328,317.510009765625,323.089996337891,8354600,320.00146484375
2025-12-23,323.609985351562,327.779998779297,323.089996337891,325.929992675781,6668300,322.814331054688
2025-12-24,326.239990234375,329.989990234375,325.5,329.170013427734,4289300,326.023376464844
2025-12-26,329.109985351562,330.859985351562,326.540008544922,327.910003662109,4158300,324.775421142578
2025-12-29,327,327.769989013672,323.529998779297,323.75,8635300,320.655181884766
2025-12-30,324.809997558594,324.940002441406,322.489990234375,323.420013427734,7904300,320.328338623047
2025-12-31,324.339996337891,324.880004882812,322.040008544922,322.220001220703,5048500,319.139801025391
2026-01-02,322.5,325.730010986328,320.739990234375,325.480010986328,8054000,322.36865234375
2026-01-05,325.5,337.25,325.190002441406,334.040008544922,10752600,330.846832275391
2026-01-06,332.619995117188,335.869995117188,330.649993896484,334.609985351562,7660800,332.90625
2026-01-07,331.140014648438,332.149993896484,324.600006103516,326.989990234375,9815200,325.325073242188
2026-01-08,326.390014648438,331.399993896484,325.649993896484,329.790008544922,11737100,328.11083984375
2026-01-09,329.339996337891,331.899993896484,328.170013427734,329.190002441406,6738100,327.513885498047
2026-01-12,321.880004882812,326.019989013672,321.230010986328,324.489990234375,12805100,322.837799072266
2026-01-13,324.299987792969,326.859985351562,310.570007324219,310.899993896484,19371200,309.316986083984
2026-01-14,308.200012207031,311.760009765625,306.119995117188,307.869995117188,25951500,306.302429199219
2026-01-15,308.470001220703,312.940002441406,307.75,309.260009765625,14751400,307.685363769531
2026-01-16,310.350006103516,317.209991455078,310,312.470001220703,14652500,310.878997802734
2026-01-20,306.209991455078,311.149993896484,301.859985351562,302.739990234375,12900600,301.198547363281
2026-01-21,303.429992675781,305.399993896484,301.149993896484,302.040008544922,10270100,300.502136230469
2026-01-22,304.859985351562,308.200012207031,302.899993896484,303.630004882812,10535800,302.084014892578
2026-01-23,302,302.369995117188,296.510009765625,297.720001220703,11107900,296.2041015625
2026-01-26,297.809997558594,301.779998779297,297.450012207031,301.040008544922,11752700,299.507202148438
2026-01-27,301.329986572266,301.970001220703,298.149993896484,300.309997558594,11527400,298.780914306641
2026-01-28,300.269989013672,301.920013427734,298.049987792969,300.769989013672,9556700,299.238555908203
2026-01-29,302.399993896484,306.829986572266,302.220001220703,306.420013427734,11580000,304.859832763672
2026-01-30,305.25,307.929992675781,302.559997558594,305.890014648438,11953200,304.33251953125
2026-02-02,304.459991455078,309.299987792969,301.369995117188,308.140014648438,9839400,306.571075439453
2026-02-03,309.730010986328,316.25,309.100006103516,314.850006103516,12688000,313.246887207031
2026-02-04,314.410003662109,319.309997558594,314.410003662109,317.269989013672,9848800,315.654541015625
2026-02-05,315,316.010009765625,305.540008544922,310.160003662109,9388000,308.580780029297
2026-02-06,314.709991455078,324.25,314.709991455078,322.399993896484,17797400,320.758453369141
2026-02-09,321.339996337891,326.399993896484,320.109985351562,322.100006103516,11477500,320.459991455078
2026-02-10,322.549987792969,326.130004882812,315.119995117188,318.279998779297,9902200,316.659423828125
2026-02-11,323.239990234375,325.279998779297,308.730010986328,310.820007324219,8703500,309.237426757812
2026-02-12,312.279998779297,313.619995117188,300.019989013672,302.640014648438,13443400,301.099060058594
2026-02-13,298.519989013672,304.290008544922,296.519989013672,302.549987792969,9114500,301.009490966797
2026-02-17,302.760009765625,308.239990234375,302.5,307.130004882812,8896800,305.566192626953
2026-02-18,308.459991455078,312.279998779297,307.220001220703,308.779998779297,7209600,307.207794189453
2026-02-19,307.170013427734,309.179992675781,305.119995117188,308.049987792969,6737700,306.481506347656
2026-02-20,308.399993896484,311,305.679992675781,310.790008544922,7792700,309.207580566406
2026-02-23,308.799987792969,311,295.100006103516,297.670013427734,12955400,296.154388427734
2026-02-24,296.820007324219,299.75,291.380004882812,297.299987792969,13554100,295.786224365234
2026-02-25,298.640014648438,303.660003662109,297.010009765625,303.299987792969,8095500,301.755676269531
2026-02-26,304.579986572266,309.010009765625,303.640014648438,306.130004882812,7007800,304.5712890625
2026-02-27,300,302.950012207031,294.450012207031,300.299987792969,18620800,298.770965576172
2026-03-02,294.809997558594,299.980010986328,293.209991455078,297.559997558594,8508900,296.044921875
2026-03-03,292.290008544922,302.390014648438,289.5,300.260009765625,10278200,298.731170654297
2026-03-04,299.989990234375,301,295.820007324219,299.390014648438,8055700,297.865631103516
2026-03-05,297.980010986328,301.239990234375,292.429992675781,293.549987792969,12732500,292.055328369141
2026-03-06,286.339996337891,289.989990234375,283.709991455078,289.480010986328,13496500,288.006072998047
2026-03-09,285.5,291.100006103516,280.450012207031,289.920013427734,12241100,288.44384765625
2026-03-10,289.290008544922,292.75,287.179992675781,288.730010986328,8344900,287.259887695312
2026-03-11,288.809997558594,290.480010986328,284.859985351562,287.519989013672,10205000,286.056030273438
2026-03-12,282.829986572266,283.880004882812,279.100006103516,282.890014648438,13760500,281.449645996094
2026-03-13,284.670013427734,287.190002441406,282.950012207031,283.440002441406,9091200,281.996826171875
2026-03-16,286.339996337891,289.269989013672,284.609985351562,286.160003662109,8149000,284.702972412109
2026-03-17,289,291.760009765625,285.950012207031,286.890014648438,8961200,285.429260253906
2026-03-18,286.829986572266,289.410003662109,285.119995117188,287.739990234375,10057000,286.27490234375
2026-03-19,286.880004882812,289.510009765625,284.619995117188,287.970001220703,9846700,286.503753662109
2026-03-20,288.079986572266,290.709991455078,285.269989013672,286.559997558594,22436500,285.100921630859
2026-03-23,294.309997558594,295.75,287.970001220703,289.910003662109,11470800,288.433868408203
2026-03-24,286.170013427734,295.480010986328,285.369995117188,292.399993896484,11092300,290.911193847656
2026-03-25,294.149993896484,297.640014648438,292.440002441406,295.420013427734,12188200,293.915832519531
2026-03-26,292.579986572266,294.989990234375,290.730010986328,291.660003662109,8669200,290.174957275391
2026-03-27,289.140014648438,290.109985351562,281.75,282.839996337891,9873300,281.399871826172
2026-03-30,284.739990234375,287.25,282.329986572266,283.769989013672,11734400,282.325134277344
2026-03-31,288.470001220703,295.070007324219,284.950012207031,294.160003662109,12956900,292.662231445312
2026-04-01,295.390014648438,298.720001220703,292.910003662109,295.380004882812,11267200,293.876037597656
2026-04-02,291.910003662109,295.619995117188,288.720001220703,294.600006103516,6669300,293.100006103516
2026-04-06,294.059997558594,296.829986572266,293.200012207031,295.450012207031,7142600,295.450012207031
2026-04-07,293.140014648438,298.179992675781,292.700012207031,297.399993896484,7849100,297.399993896484
2026-04-08,307.970001220703,311.260009765625,305.329986572266,307.970001220703,10590200,307.970001220703
2026-04-09,306.950012207031,311.260009765625,306.109985351562,310.329986572266,6586600,310.329986572266
2026-04-10,310,310.350006103516,306.720001220703,309.869995117188,6069700,309.869995117188
2026-04-13,307.470001220703,313.739990234375,305.459991455078,313.679992675781,8318200,313.679992675781
